periodos_rsi,rsi_base,rsi_teto,resultado_df
15,16,80,"Valor final investido                               1123.593043
Resultado percentual final                             7.433593
Maior resultado operacao fechada                       1.207567
Menor resultado percentual de operação fechada        -2.915594
Quantidade de operações positivas                     43.000000
Percentual de operações positivas                     78.181818
Quantidade de operações negativas                     12.000000
Percentual de operações negativas                     21.818182
Media resultados comprados                             0.366253
Media resultados venda                                 0.003101
Número abertura de compra                             20.000000
Número abertura de venda                              36.000000
Número fechamento de compra                           20.000000
Número fechamento de venda                            35.000000
Total de operações abertas                            56.000000
Total de operações finalizadas                        55.000000
Maior rebaixamento ma conta durante operacoes        998.339320
Maior valor alcançado na conta durante operacoes    1156.852872
Name: 0, dtype: float64"
15,16,81,"Valor final investido                               1112.699481
Resultado percentual final                             6.463326
Maior resultado operacao fechada                       1.207567
Menor resultado percentual de operação fechada        -2.915594
Quantidade de operações positivas                     38.000000
Percentual de operações positivas                     76.000000
Quantidade de operações negativas                     12.000000
Percentual de operações negativas                     24.000000
Media resultados comprados                             0.381714
Media resultados venda                                -0.039032
Número abertura de compra                             20.000000
Número abertura de venda                              31.000000
Número fechamento de compra                           20.000000
Número fechamento de venda                            30.000000
Total de operações abertas                            51.000000
Total de operações finalizadas                        50.000000
Maior rebaixamento ma conta durante operacoes        998.339320
Maior valor alcançado na conta durante operacoes    1150.897019
Name: 0, dtype: float64"
15,16,82,"Valor final investido                               1112.373315
Resultado percentual final                             6.431201
Maior resultado operacao fechada                       1.207567
Menor resultado percentual de operação fechada        -2.915594
Quantidade de operações positivas                     38.000000
Percentual de operações positivas                     76.000000
Quantidade de operações negativas                     12.000000
Percentual de operações negativas                     24.000000
Media resultados comprados                             0.386071
Media resultados venda                                -0.043007
Número abertura de compra                             20.000000
Número abertura de venda                              31.000000
Número fechamento de compra                           20.000000
Número fechamento de venda                            30.000000
Total de operações abertas                            51.000000
Total de operações finalizadas                        50.000000
Maior rebaixamento ma conta durante operacoes        998.339320
Maior valor alcançado na conta durante operacoes    1146.161297
Name: 0, dtype: float64"
15,16,83,"Valor final investido                               1097.848201
Resultado percentual final                             7.390392
Maior resultado operacao fechada                       1.207567
Menor resultado percentual de operação fechada        -2.780739
Quantidade de operações positivas                     38.000000
Percentual de operações positivas                     77.551020
Quantidade de operações negativas                     11.000000
Percentual de operações negativas                     22.448980
Media resultados comprados                             0.393022
Media resultados venda                                -0.016208
Número abertura de compra                             20.000000
Número abertura de venda                              30.000000
Número fechamento de compra                           20.000000
Número fechamento de venda                            29.000000
Total de operações abertas                            50.000000
Total de operações finalizadas                        49.000000
Maior rebaixamento ma conta durante operacoes        998.339320
Maior valor alcançado na conta durante operacoes    1158.525135
Name: 0, dtype: float64"
15,16,84,"Valor final investido                               1118.702835
Resultado percentual final                             9.157673
Maior resultado operacao fechada                       1.207567
Menor resultado percentual de operação fechada        -2.766932
Quantidade de operações positivas                     38.000000
Percentual de operações positivas                     79.166667
Quantidade de operações negativas                     10.000000
Percentual de operações negativas                     20.833333
Media resultados comprados                             0.431456
Media resultados venda                                 0.018877
Número abertura de compra                             20.000000
Número abertura de venda                              29.000000
Número fechamento de compra                           20.000000
Número fechamento de venda                            28.000000
Total de operações abertas                            49.000000
Total de operações finalizadas                        48.000000
Maior rebaixamento ma conta durante operacoes        998.339320
Maior valor alcançado na conta durante operacoes    1153.055451
Name: 0, dtype: float64"
15,17,80,"Valor final investido                               1082.772893
Resultado percentual final                             5.997585
Maior resultado operacao fechada                       1.104560
Menor resultado percentual de operação fechada        -2.569544
Quantidade de operações positivas                     47.000000
Percentual de operações positivas                     74.603175
Quantidade de operações negativas                     16.000000
Percentual de operações negativas                     25.396825
Media resultados comprados                             0.295360
Media resultados venda                                -0.036485
Número abertura de compra                             25.000000
Número abertura de venda                              39.000000
Número fechamento de compra                           25.000000
Número fechamento de venda                            38.000000
Total de operações abertas                            64.000000
Total de operações finalizadas                        63.000000
Maior rebaixamento ma conta durante operacoes        998.339320
Maior valor alcançado na conta durante operacoes    1139.449416
Name: 0, dtype: float64"
15,17,81,"Valor final investido                               1079.624547
Resultado percentual final                             5.817827
Maior resultado operacao fechada                       1.104560
Menor resultado percentual de operação fechada        -2.569544
Quantidade de operações positivas                     43.000000
Percentual de operações positivas                     75.438596
Quantidade de operações negativas                     14.000000
Percentual de operações negativas                     24.561404
Media resultados comprados                             0.344005
Media resultados venda                                -0.086946
Número abertura de compra                             25.000000
Número abertura de venda                              33.000000
Número fechamento de compra                           25.000000
Número fechamento de venda                            32.000000
Total de operações abertas                            58.000000
Total de operações finalizadas                        57.000000
Maior rebaixamento ma conta durante operacoes        998.339320
Maior valor alcançado na conta durante operacoes    1141.137988
Name: 0, dtype: float64"
15,17,82,"Valor final investido                               1086.637837
Resultado percentual final                             6.462393
Maior resultado operacao fechada                       1.104560
Menor resultado percentual de operação fechada        -2.569544
Quantidade de operações positivas                     44.000000
Percentual de operações positivas                     77.192982
Quantidade de operações negativas                     13.000000
Percentual de operações negativas                     22.807018
Media resultados comprados                             0.347490
Media resultados venda                                -0.069527
Número abertura de compra                             25.000000
Número abertura de venda                              33.000000
Número fechamento de compra                           25.000000
Número fechamento de venda                            32.000000
Total de operações abertas                            58.000000
Total de operações finalizadas                        57.000000
Maior rebaixamento ma conta durante operacoes        998.339320
Maior valor alcançado na conta durante operacoes    1136.442422
Name: 0, dtype: float64"
15,17,83,"Valor final investido                               1126.144280
Resultado percentual final                            10.009692
Maior resultado operacao fechada                       1.104560
Menor resultado percentual de operação fechada        -2.434208
Quantidade de operações positivas                     44.000000
Percentual de operações positivas                     78.571429
Quantidade de operações negativas                     12.000000
Percentual de operações negativas                     21.428571
Media resultados comprados                             0.361334
Media resultados venda                                 0.031495
Número abertura de compra                             25.000000
Número abertura de venda                              32.000000
Número fechamento de compra                           25.000000
Número fechamento de venda                            31.000000
Total de operações abertas                            57.000000
Total de operações finalizadas                        56.000000
Maior rebaixamento ma conta durante operacoes        998.339320
Maior valor alcançado na conta durante operacoes    1151.566025
Name: 0, dtype: float64"
15,17,84,"Valor final investido                               1145.679124
Resultado percentual final                            11.701891
Maior resultado operacao fechada                       1.104560
Menor resultado percentual de operação fechada        -1.870706
Quantidade de operações positivas                     44.000000
Percentual de operações positivas                     80.000000
Quantidade de operações negativas                     11.000000
Percentual de operações negativas                     20.000000
Media resultados comprados                             0.392081
Media resultados venda                                 0.063329
Número abertura de compra                             25.000000
Número abertura de venda                              31.000000
Número fechamento de compra                           25.000000
Número fechamento de venda                            30.000000
Total de operações abertas                            56.000000
Total de operações finalizadas                        55.000000
Maior rebaixamento ma conta durante operacoes        998.339320
Maior valor alcançado na conta durante operacoes    1151.891021
Name: 0, dtype: float64"
15,18,80,"Valor final investido                               1016.592180
Resultado percentual final                             1.719203
Maior resultado operacao fechada                       1.104560
Menor resultado percentual de operação fechada        -4.560030
Quantidade de operações positivas                     51.000000
Percentual de operações positivas                     73.913043
Quantidade de operações negativas                     18.000000
Percentual de operações negativas                     26.086957
Media resultados comprados                             0.275167
Media resultados venda                                -0.145987
Número abertura de compra                             29.000000
Número abertura de venda                              41.000000
Número fechamento de compra                           28.000000
Número fechamento de venda                            41.000000
Total de operações abertas                            70.000000
Total de operações finalizadas                        69.000000
Maior rebaixamento ma conta durante operacoes        998.339320
Maior valor alcançado na conta durante operacoes    1141.042959
Name: 0, dtype: float64"
